,barcode,category,categoryCode,cpg,name,topBrand,brandCode,brandId
814,511111015468,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1597527952048,True,TEST BRANDCODE @1597527952048,5f385790be37ce5178517ad8
815,511111116240,Baking,BAKING,5f4a650bbe37ce17d23b317e,test brand @1598711051957,True,,5f4a650bbe37ce17d23b317f
816,511111715764,Baking,BAKING,5f43faadbe37ce3ef3fd371a,test brand @1598290605359,True,,5f43faadbe37ce3ef3fd371b
817,511111615217,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1595968943787,True,TEST BRANDCODE @1595968943787,5f208dafbe37ce7958c59525
818,511111200680,Frozen,,5332f5f6e4b03c9a25efd0b4,TALENTI,False,TALENTI,592486bfe410d61fcea3d13c
819,511111716082,Baking,BAKING,5f493e72be37ce64d0ae36c2,test brand @1598635634767,True,TEST BRANDCODE @1598635634767,5f493e72be37ce64d0ae36c3
820,511111305842,Health & Wellness,,53e10d6368abd3c7065097cc,ONE A DAY® VITACRAVES ADULT MULTIVITAMINS,True,511111305842,5da6097ea60b87376833e358
821,511111601005,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Red Dog,True,RED DOG,58b59950e4b0857c2ddb7254
822,511111201359,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Smith & Forge Hard Cider,False,SMITH & FORGE,58861c7e4e8d0d20bc42c4ee
823,511111200031,Beverages,,5332f5fbe4b03c9a25efd0ba,LIPTON Iced Tea Beverages,False,LIPTON Iced Tea Beverages,5a5e34fee4b0db471c2d0436
824,511111201564,Snacks,,5332f5fbe4b03c9a25efd0ba,Ruffles,True,RUFFLES,585a96f5e4b03e62d1ce0e8d
825,511111604310,Beverages,,5a734034e4b0d58f376be874,V8 Plus Energy,False,V8 PLUS ENERGY ,5ab13165e4b0be0a89bb0b03
826,511111804550,Snacks,,5a734034e4b0d58f376be874,POP SECRET,False,POP SECRET,5afda618e4b0c11cfecd49fa
827,511111316992,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1601939763539,True,TEST BRANDCODE @1601939763539,5f7ba933be37ce2f290fb256
828,511111203322,,,5332f7ffe4b03c9a25efd16b,Fruit on the Bottom,True,,5332f800e4b03c9a25efd16c
829,511111801191,Beverages,,559c2234e4b06aca36af13c6,Capri Sun,False,CAPRI SUN,5887a0fde4b02187f85cdad1
830,511111100416,Snacks,,5332f5fbe4b03c9a25efd0ba,NUT HARVEST,True,NUT HARVEST,5a5d1acce4b0db471c2d0421
831,511111916390,Baking,BAKING,5f4cff1aa475f1050a66b566,test brand @1598881563437,True,TEST BRANDCODE @1598881563437,5f4cff1ba475f1050a66b569
832,511111902539,,,5332f5f2e4b03c9a25efd0aa,Famous Amos,True,,57c0810fe4b0718ff5fcb02d
833,511111216650,Baking,BAKING,5f628214be37ce78e6e2efaa,test brand @1600291349208,True,TEST BRANDCODE @1600291349208,5f628215be37ce78e6e2efac
834,511111102823,,,53501d2ab9237fd7718f9e18,Emils,True,,53501d2ab9237fd7718f9e19
835,511111204596,Beer Wine Spirits,,53e10d6368abd3c7065097cc,Henry Weinhard's,True,HENRY WEINHARDS,5b184cdbe4b0d159a5b66e2b
836,511111116479,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1599097539366,True,TEST BRANDCODE @1599097539367,5f504ac3be37ce0b793c9416
837,511111905035,Magazines,,5d5d4fd16d5f3b23d1bc7905,People Special Edition Magazine,True,511111905035,5d6415b3a3a018514994f428
838,511111706274,Breakfast & Cereal,,53e10d6368abd3c7065097cc,Fruity Cheerios™,True,FRUITY CHEERIOS,5dc07880a60b873d6b0666cf
839,511111905752,Health & Wellness,,53e10d6368abd3c7065097cc,Flintstones™ MULTIVITAMIN GUMMY,True,FLINTSTONES MULTIVITAMIN GUMMY,5da608821dda2c3e1416ae8c
840,511111102267,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Foster's,False,FOSTER'S,57e58166e4b0ac389136a30b
841,511111904892,Condiments & Sauces,,559c2234e4b06aca36af13c6,F. Whitlock & Sons BBQ Sauce,True,F WHITLOCK AND SONS,5d5411eda3a018514994f420
842,511111318804,Baking,BAKING,5ff75cdebe37ce1e961f328c,test brand @1610046687007,False,TEST BRANDCODE @1610046687007,5ff75cdfbe37ce1e961f328f
843,511111818816,Baking,BAKING,5ff75cdebe37ce1e961f328c,test brand @1610046687035,False,TEST BRANDCODE @1610046687035,5ff75cdfbe37ce1e961f3290
844,511111718796,Baking,BAKING,5ff75cdebe37ce1e961f328c,test brand @1610046686980,False,TEST BRANDCODE @1610046686980,5ff75cdebe37ce1e961f328e
845,511111416456,Baking,BAKING,5f504ac2be37ce0b793c9411,test brand @1599097538571,True,TEST BRANDCODE @1599097538572,5f504ac2be37ce0b793c9414
846,511111314097,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,5e5ea9cc9c50da1291a6d074,I CAN'T BELIEVE IT'S NOT BUTTER!,True,I CAN'T BELIEVE IT'S NOT BUTTER,5e710dd5ee7f2d0b35b2a193
847,511111118008,Baking,BAKING,5fcff304be37ce6d53dfc683,test brand @1607463684777,False,TEST BRANDCODE @1607463684777,5fcff304be37ce6d53dfc686
848,511111701781,Snacks,,5332f5fbe4b03c9a25efd0ba,Baken-Ets,True,BAKEN-ETS,585a961fe4b03e62d1ce0e76
849,511111405979,Dairy,,5332f5f3e4b03c9a25efd0ae,LIBERTÉ®,True,LIBERTE,5daf472da60b87376833e35e
850,511111006251,Breakfast & Cereal,,53e10d6368abd3c7065097cc,Apple Cinnamon Cheerios™,True,APPLE CINNAMON CHEERIOS,5dc076e41dda2c0ad7da64ab
851,511111700180,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,St. Stefanus,True,ST STEFANUS,5a5d2695e4b0db471c2d042d
852,511111304050,,,5332f5ebe4b03c9a25efd0a8,Monster,True,,5332f5ebe4b03c9a25efd0a7
853,511111101734,Beverages,,5332f5fbe4b03c9a25efd0ba,Dole Chilled Fruit Juices,False,DOLE CHILLED FRUIT JUICES,585a9653e4b03e62d1ce0e7b
854,511111915409,Baking,BAKING,5f35a0bcbe37ce6853cff20a,test brand @1597350076586,True,,5f35a0bcbe37ce6853cff20b
855,511111703822,,,5332f5f3e4b03c9a25efd0ae,Haagen-Dazs,True,,5332f70ee4b03c9a25efd0f7
856,511111700692,Personal Care,,5332f5f6e4b03c9a25efd0b4,SUAVE,False,SUAVE,592486bfe410d61fcea3d13a
857,511111402190,Condiments & Sauces,,559c2234e4b06aca36af13c6,Classico,False,CLASSICO,57ebbed8e4b0ac389136a32e
858,511111402473,,,5332f7a7e4b03c9a25efd134,Brahma,True,,57c08275e4b0718ff5fcb036
859,511111717805,Grocery,GROCERY,5fb6b608be37ce522e165cb9,Stroehmann,False,STROEHMANN,5fb82a34be37ce522e165ce5
860,511111305354,Beverages,,5332f5fbe4b03c9a25efd0ba,Bubly Sparkling Water,False,BUBLY,5d66d9016d5f3b6188d4f04a
861,511111004356,Grocery,,5a734034e4b0d58f376be874,1915 Bolthouse Farms,False,1915 BOLTHOUSE FARMS,5ab152fae4b0be0a89bb0b05
862,511111018827,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610046687624,False,TEST BRANDCODE @1610046687624,5ff75cdfbe37ce1e961f3291
863,511111218784,Baking,BAKING,5ff75cdebe37ce1e961f328c,test brand @1610046686954,False,TEST BRANDCODE @1610046686954,5ff75cdebe37ce1e961f328d
864,511111518839,Baking,BAKING,5ff768d4be37ce1e961f3299,test brand @1610049748078,False,TEST BRANDCODE @1610049748079,5ff768d4be37ce1e961f329a
865,511111114062,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,MIRALAX®LAXATIVES,False,MIRALAX LAXATIVES,5e5ff32bee7f2d0b35b2a190
866,511111318248,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,test brand @1607708191128,False,TEST BRANDCODE @1607708191128,5fd3ae1fbe37ce0d9386bb56
867,511111818250,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,test brand @1607708191160,False,TEST BRANDCODE @1607708191160,5fd3ae1fbe37ce0d9386bb57
868,511111018261,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,test brand @1607708191197,False,TEST BRANDCODE @1607708191197,5fd3ae1fbe37ce0d9386bb58
869,511111518273,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1607708191721,False,TEST BRANDCODE @1607708191721,5fd3ae1fbe37ce0d9386bb59
870,511111718284,Baking,BAKING,5fd3ae20be37ce0d9386bb5a,test brand @1607708192160,False,,5fd3ae20be37ce0d9386bb5b
871,511111519591,Baking,BAKING,5fff3aa0be37ce2bb7930116,test brand @1610562208718,False,TEST BRANDCODE @1610562208718,5fff3aa0be37ce2bb793011a
872,511111619611,Baking,BAKING,6000a0c6be37ce2bb793011c,test brand @1610653894219,False,TEST BRANDCODE @1610653894219,6000a0c6be37ce2bb793011d
873,511111319566,Baking,BAKING,5fff3aa0be37ce2bb7930116,test brand @1610562208600,False,TEST BRANDCODE @1610562208600,5fff3aa0be37ce2bb7930117
874,511111819578,Baking,BAKING,5fff3aa0be37ce2bb7930116,test brand @1610562208645,False,TEST BRANDCODE @1610562208645,5fff3aa0be37ce2bb7930118
875,511111119609,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610562209325,False,TEST BRANDCODE @1610562209325,5fff3aa1be37ce2bb793011b
876,511111019589,Baking,BAKING,5fff3aa0be37ce2bb7930116,test brand @1610562208680,False,TEST BRANDCODE @1610562208680,5fff3aa0be37ce2bb7930119
877,511111019701,Baking,BAKING,6000b8c3be37ce321363c6bf,test brand @1610660035827,False,TEST BRANDCODE @1610660035827,6000b8c3be37ce321363c6c3
878,511111419693,Baking,BAKING,6000b8c3be37ce321363c6bf,test brand @1610660035788,False,TEST BRANDCODE @1610660035788,6000b8c3be37ce321363c6c2
879,511111519713,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610660036398,False,TEST BRANDCODE @1610660036398,6000b8c4be37ce321363c6c4
880,511111219736,Baking,BAKING,60019b82be37ce4f17e558d1,test brand @1610718082493,False,TEST BRANDCODE @1610718082494,60019b82be37ce4f17e558d2
881,511111801474,Beverages,,5332f5fbe4b03c9a25efd0ba,Tropicana Trop 50,False,,585a973ee4b03e62d1ce0e97
882,511111702733,,,5459429be4b0bfcb1e864082,Valu Time,True,,552ecc9be4b02ff29f99b214
883,511111201847,Frozen,,559c2234e4b06aca36af13c6,TGI Fridays,False,T.G.I. FRIDAY'S,580dffa7e4b0f32b2de21383
884,511111600350,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Cusquena,True,CUSQUENA,5a5d1d71e4b06ba572cf249c
885,511111517399,Bread & Bakery,BREAD_AND_BAKERY,5fb6b608be37ce522e165cb9,Arnold ,False,ARNOLD,5fb6b6e1be37ce522e165cbb
886,511111001997,Beverages,,559c2234e4b06aca36af13c6,McCafé,False,MC CAFE,57ebc188e4b0ac389136a343
887,511111404514,Snacks,,5a734034e4b0d58f376be874,O-Ke-Doke,False,O-KE-DOKE,5afda307e4b03bf01c2a2966
888,511111517955,Baking,BAKING,5fcda494be37ce688e08b0cb,test brand @1607312532260,False,TEST BRANDCODE @1607312532260,5fcda494be37ce688e08b0ce
889,511111505648,Health & Wellness,,53e10d6368abd3c7065097cc,ALKA SELTZER® ADULT HEARTBURN CHEWS/ GUMMY/ TAB,True,ALKA SELTZER ADULT HEARTBURN CHEWS/ GUMMY/ TAB,5da606c61dda2c3e1416ae87
890,511111615149,Baking,BAKING,5f19e054be37ce33f74a166e,test brand @1595531348450,True,TEST BRANDCODE @1595531348450,5f19e054be37ce33f74a1672
891,511111816058,Baking,BAKING,5f493dabbe37ce64d0ae36ba,test brand @1598635435926,True,TEST BRANDCODE @1598635435926,5f493dabbe37ce64d0ae36be
892,511111018056,Baking,BAKING,5fd29590be37ce38bbbefb25,test brand @1607636368135,False,TEST BRANDCODE @1607636368136,5fd29590be37ce38bbbefb26
